Taxón,PNS NIEVES,PNS NEVADA,PN DOÑANA,Recolectada en sierra nevada,rbcl,trnH,MatK,ITS
Ulex baeticus baeticus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ulex baeticus bourgaeanus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ulex eriocladus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Ulex minor,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Ulex parviflorus parviflorus,1,1,0,S,1,1,1,1
Ulmus minor,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Vaccinium uliginosum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Vella spinosa,1,1,0,S,0,0,0,0
Veronica fontqueri,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Veronica fruticans,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Veronica scutellata,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Viburnum lantana,0,1,0,S,1,1,#N/A,#N/A
Viburnum tinus,1,1,0,S,1,1,1,1
Vicia cracca tenuifolia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Vinca difformis,1,1,1,S,1,1,1,0
Viola arborescens,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Viscum cruciatum,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Vitex agnuscastus,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Vitis sylvestris,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Vitis vinifera sylvestris,1,1,0,S,1,1,0,0
Withania somnifera,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Xolantha tuberaria,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
